time,rotor angular position
0,0.3
0.01,1.204672
0.02,3.776077
0.03,7.779335
0.04,12.959445
0.05,19.050768
0.06,25.785918
0.07,32.903854
0.08,40.157024
0.09,47.317424
0.1,54.181498
0.11,60.573849
0.12,66.349765
0.13,71.396588
0.14,75.634007
0.15,79.013361
0.16,81.51607
0.17,83.151327
0.18,83.953176
0.19,83.977143
0.2,83.296542
0.21,81.99861
0.22,80.180591
0.23,77.945902
0.24,75.400478
0.25,72.649387
0.26,69.793804
0.27,66.928369
0.28,64.139013
0.29,61.501231
0.3,59.078837
0.31,56.923185
0.32,55.07283
0.33,53.553602
0.34,52.379053
0.35,51.55122
0.36,51.061663
0.37,50.892711
0.38,51.018866
0.39,51.408303
0.4,52.024417
0.41,52.827361
0.42,53.775541
0.43,54.827011
0.44,55.940755
0.45,57.077811
0.46,58.202236
0.47,59.281879
0.48,60.288978
0.49,61.200567
0.5,61.998694
0.51,62.670485
0.52,63.208036
0.53,63.608177
0.54,63.872115
0.55,64.004985
0.56,64.015316
0.57,63.914465
0.58,63.716002
0.59,63.435104
0.6,63.087947
0.61,62.691133
0.62,62.261157
0.63,61.813929
0.64,61.364356
0.65,60.925996
0.66,60.510783
0.67,60.128831
0.68,59.788304
0.69,59.49536
0.7,59.254159
0.71,59.066932
0.72,58.934096
0.73,58.854416
0.74,58.825195
0.75,58.842499
0.76,58.901387
0.77,58.996156
0.78,59.120579
0.79,59.268145
0.8,59.432274
0.81,59.606521
0.82,59.784756
0.83,59.961312
0.84,60.131112
0.85,60.289764
0.86,60.433621
0.87,60.559825
0.88,60.666312
0.89,60.751801
0.9,60.815753
0.91,60.858322
0.92,60.88028
0.93,60.882936
0.94,60.868049
0.95,60.83773
0.96,60.794347
0.97,60.740429
0.98,60.678579
0.99,60.611385
1,60.54135
1.01,60.470821
1.02,60.401937
1.03,60.336584
1.04,60.276366
1.05,60.222579
1.06,60.176207
1.07,60.13792
1.08,60.108083
1.09,60.086779
1.1,60.073826
1.11,60.068814
1.12,60.071137
1.13,60.080026
1.14,60.094595
1.15,60.113869
1.16,60.13683
1.17,60.162446
1.18,60.189704
1.19,60.21764
1.2,60.24536
1.21,60.272063
1.22,60.297054
1.23,60.319753
1.24,60.339707
1.25,60.356584
1.26,60.370176
1.27,60.380394
1.28,60.387255
1.29,60.390875
1.3,60.391454
1.31,60.389266
1.32,60.384639
1.33,60.377941
1.34,60.369569
1.35,60.359931
1.36,60.349431
1.37,60.338465
1.38,60.327402
1.39,60.316578
1.4,60.306293
1.41,60.2968
1.42,60.288305
1.43,60.280966
1.44,60.274889
1.45,60.270136
1.46,60.26672
1.47,60.264617
1.48,60.263764
1.49,60.264066
1.5,60.265406
1.51,60.267644
1.52,60.270629
1.53,60.274201
1.54,60.278198
1.55,60.282462
1.56,60.28684
1.57,60.291192
1.58,60.29539
1.59,60.299327
1.6,60.302908
1.61,60.306062
1.62,60.308737
1.63,60.310898
1.64,60.312529
1.65,60.313634
1.66,60.31423
1.67,60.314347
1.68,60.314027
1.69,60.313321
1.7,60.312287
1.71,60.310988
1.72,60.309486
1.73,60.307846
1.74,60.306129
1.75,60.304393
1.76,60.302693
1.77,60.301074
1.78,60.299578
1.79,60.298237
1.8,60.297075
1.81,60.296111
1.82,60.295354
1.83,60.294806
1.84,60.294465
1.85,60.294321
1.86,60.294359
1.87,60.29456
1.88,60.294904
1.89,60.295366
1.9,60.295921
1.91,60.296545
1.92,60.297212
1.93,60.297898
1.94,60.298581
1.95,60.299241
1.96,60.299861
1.97,60.300426
1.98,60.300925
1.99,60.301348
2,60.301692
