time,rotor angular position
0,0.233645
0.01,1.998508
0.02,6.4271
0.03,12.432076
0.04,19.182724
0.05,26.069769
0.06,32.669057
0.07,38.706484
0.08,44.025705
0.09,48.559554
0.1,52.305551
0.11,55.305589
0.12,57.629584
0.13,59.362743
0.14,60.596018
0.15,61.419252
0.16,61.916568
0.17,62.163513
0.18,62.225599
0.19,62.157849
0.2,62.005068
0.21,61.802596
0.22,61.57735
0.23,61.348993
0.24,61.131142
0.25,60.932527
0.26,60.758054
0.27,60.609741
0.28,60.487521
0.29,60.389904
0.3,60.314511
0.31,60.258485
0.32,60.218802
0.33,60.192489
0.34,60.176773
0.35,60.169174
0.36,60.167544
0.37,60.170087
0.38,60.175342
0.39,60.182161
0.4,60.189672
0.41,60.19724
0.42,60.204429
0.43,60.210962
0.44,60.216683
0.45,60.221534
0.46,60.22552
0.47,60.228696
0.48,60.231141
0.49,60.232952
0.5,60.234228
0.51,60.235068
0.52,60.235564
0.53,60.235797
0.54,60.235837
0.55,60.235744
0.56,60.235563
0.57,60.235334
0.58,60.235084
0.59,60.234833
0.6,60.234596
0.61,60.234381
0.62,60.234193
0.63,60.234035
0.64,60.233905
0.65,60.233801
0.66,60.233722
0.67,60.233664
0.68,60.233623
0.69,60.233596
0.7,60.23358
0.71,60.233573
0.72,60.233572
0.73,60.233576
0.74,60.233582
0.75,60.233589
0.76,60.233598
0.77,60.233606
0.78,60.233614
0.79,60.233621
0.8,60.233627
0.81,60.233632
0.82,60.233637
0.83,60.23364
0.84,60.233642
0.85,60.233644
0.86,60.233646
0.87,60.233647
0.88,60.233647
0.89,60.233647
0.9,60.233647
0.91,60.233647
0.92,60.233647
0.93,60.233647
0.94,60.233646
0.95,60.233646
0.96,60.233646
0.97,60.233646
0.98,60.233645
0.99,60.233645
1,60.233645
1.01,60.233645
1.02,60.233645
1.03,60.233645
1.04,60.233645
1.05,60.233645
1.06,60.233645
1.07,60.233645
1.08,60.233645
1.09,60.233645
1.1,60.233645
1.11,60.233645
1.12,60.233645
1.13,60.233645
1.14,60.233645
1.15,60.233645
1.16,60.233645
1.17,60.233645
1.18,60.233645
1.19,60.233645
1.2,60.233645
1.21,60.233645
1.22,60.233645
1.23,60.233645
1.24,60.233645
1.25,60.233645
1.26,60.233645
1.27,60.233645
1.28,60.233645
1.29,60.233645
1.3,60.233645
1.31,60.233645
1.32,60.233645
1.33,60.233645
1.34,60.233645
1.35,60.233645
1.36,60.233645
1.37,60.233645
1.38,60.233645
1.39,60.233645
1.4,60.233645
1.41,60.233645
1.42,60.233645
1.43,60.233645
1.44,60.233645
1.45,60.233645
1.46,60.233645
1.47,60.233645
1.48,60.233645
1.49,60.233645
1.5,60.233645
1.51,60.233645
1.52,60.233645
1.53,60.233645
1.54,60.233645
1.55,60.233645
1.56,60.233645
1.57,60.233645
1.58,60.233645
1.59,60.233645
1.6,60.233645
1.61,60.233645
1.62,60.233645
1.63,60.233645
1.64,60.233645
1.65,60.233645
1.66,60.233645
1.67,60.233645
1.68,60.233645
1.69,60.233645
1.7,60.233645
1.71,60.233645
1.72,60.233645
1.73,60.233645
1.74,60.233645
1.75,60.233645
1.76,60.233645
1.77,60.233645
1.78,60.233645
1.79,60.233645
1.8,60.233645
1.81,60.233645
1.82,60.233645
1.83,60.233645
1.84,60.233645
1.85,60.233645
1.86,60.233645
1.87,60.233645
1.88,60.233645
1.89,60.233645
1.9,60.233645
1.91,60.233645
1.92,60.233645
1.93,60.233645
1.94,60.233645
1.95,60.233645
1.96,60.233645
1.97,60.233645
1.98,60.233645
1.99,60.233645
2,60.233645
