time,rotor angular position
0,0.233645
0.01,2.353983
0.02,9.110452
0.03,20.925736
0.04,37.937309
0.05,59.93113
0.06,86.287858
0.07,115.947996
0.08,147.402218
0.09,178.712573
0.1,207.569105
0.11,231.384756
0.12,247.429192
0.13,252.999483
0.14,245.622471
0.15,223.280337
0.16,184.647508
0.17,129.323874
0.18,58.046605
0.19,-27.139108
0.2,-122.770922
0.21,-223.941941
0.22,-324.373171
0.23,-416.600255
0.24,-492.283446
0.25,-542.642542
0.26,-559.009765
0.27,-533.483557
0.28,-459.655595
0.29,-333.372471
0.3,-153.483399
0.31,77.483313
0.32,352.778364
0.33,661.090187
0.34,986.468775
0.35,1308.572465
0.36,1603.283453
0.37,1843.719952
0.38,2001.649522
0.39,2049.279779
0.4,1961.370448
0.41,1717.576314
0.42,1304.895882
0.43,720.068199
0.44,-28.267058
0.45,-917.85035
0.46,-1911.736194
0.47,-2958.086828
0.48,-3991.010334
0.49,-4932.588301
0.5,-5696.180036
0.51,-6191.014515
0.52,-6327.989604
0.53,-6026.494243
0.54,-5221.958375
0.55,-3873.72409
0.56,-1972.727811
0.57,451.603558
0.58,3325.900175
0.59,6529.522764
0.6,9894.024054
0.61,13205.98767
0.62,16213.70415
0.63,18637.95507
0.64,20186.93003
0.65,20575.00545
0.66,19544.77882
0.67,16891.39531
0.68,12487.8466
0.69,6309.590254
0.7,-1543.438489
0.71,-10829.54105
0.72,-21154.88844
0.73,-31972.19371
0.74,-42590.30466
0.75,-52196.17332
0.76,-59890.04384
0.77,-64733.90364
0.78,-65812.28513
0.79,-62303.42467
0.8,-53557.638
0.81,-39178.62512
0.82,-19102.35811
0.83,6332.67348
0.84,36330.68425
0.85,69606.32594
0.86,104381.726
0.87,138418.8314
0.88,169091.6694
0.89,193501.1373
0.9,208632.3507
0.91,211551.4845
0.92,199635.5569
0.93,170824.9143
0.94,123884.4991
0.95,58656.59632
0.96,-23715.04202
0.97,-120611.6737
0.98,-227839.2769
0.99,-339623.257
1,-448717.2823
1.01,-546640.8464
1.02,-624053.6498
1.03,-671266.5254
1.04,-678878.625
1.05,-638519.3574
1.06,-543661.6851
1.07,-390461.6026
1.08,-178567.7892
1.09,88163.44874
1.1,401118.7347
1.11,746616.3817
1.12,1105903.047
1.13,1455519.292
1.14,1768080.228
1.15,2013496.269
1.16,2160631.923
1.17,2179368.181
1.18,2042997.888
1.19,1730845.256
1.2,1230962.898
1.21,542725.1173
1.22,-320891.9598
1.23,-1331571.389
1.24,-2444691.064
1.25,-3599357.187
1.26,-4719630.049
1.27,-5717088.125
1.28,-6494807.78
1.29,-6952747.977
1.3,-6994424.917
1.31,-6534644.82
1.32,-5507940.216
1.33,-3877233.835
1.34,-1642143.703
1.35,1153746.568
1.36,4417386.31
1.37,8003275.141
1.38,11713713.6
1.39,15302906.96
1.4,18485383.64
1.41,20948966.42
1.42,22372249.67
1.43,22446198.6
1.44,20899109.96
1.45,17523778.85
1.46,12205327.5
1.47,4947798.69
1.48,-4102667.853
1.49,-14640439.17
1.5,-26191181.59
1.51,-38113128.96
1.52,-49610802
1.53,-59762636.27
1.54,-67563250.72
1.55,-71980166.4
1.56,-72023694.14
1.57,-66827497.73
1.58,-55736069.03
1.59,-38394104.97
1.6,-14831648.87
1.61,14462043.95
1.62,48483524.33
1.63,85686784.71
1.64,123988832.1
1.65,160815490.9
1.66,193192037.2
1.67,217880910
1.68,231565753.9
1.69,231077527.9
1.7,213654506.2
1.71,177223913.6
1.72,120688943.6
1.73,44201306.1
1.74,-50603410.93
1.75,-160432056.3
1.76,-280246736.2
1.77,-403287565.8
1.78,-521225392.2
1.79,-624459010.8
1.8,-702563736.1
1.81,-744888512.1
1.82,-741287368.3
1.83,-682958436
1.84,-563350616.1
1.85,-379085180.4
1.86,-130828100.5
1.87,175960189.8
1.88,530476420.7
1.89,916307210.8
1.9,1311517844
1.91,1689160904
1.92,2018250567
1.93,2265223464
1.94,2395875697
1.95,2377728828
1.96,2182737106
1.97,1790206013
1.98,1189751145
1.99,384089799.6
2,-608571182.6
