Time,Input,Output
0,1,0
0.000005,1,0.002446
0.00001,1,0.009694
0.000015,1,0.021595
0.00002,1,0.037989
0.000025,1,0.058699
0.00003,1,0.083539
0.000035,1,0.112308
0.00004,1,0.144797
0.000045,1,0.180787
0.00005,1,0.22005
0.000055,1,0.262354
0.00006,1,0.307457
0.000065,1,0.355113
0.00007,1,0.405075
0.000075,1,0.457089
0.00008,1,0.510903
0.000085,1,0.566262
0.00009,1,0.622911
0.000095,1,0.680599
0.0001,1,0.739074
0.000105,1,0.798088
0.00011,1,0.8574
0.000115,1,0.916769
0.00012,1,0.975964
0.000125,1,1.034757
0.00013,1,1.09293
0.000135,1,1.150272
0.00014,1,1.206578
0.000145,1,1.261657
0.00015,1,1.315323
0.000155,1,1.367403
0.00016,1,1.417732
0.000165,1,1.466159
0.00017,1,1.512541
0.000175,1,1.556749
0.00018,1,1.598664
0.000185,1,1.63818
0.00019,1,1.675202
0.000195,1,1.709648
0.0002,1,1.741448
0.000205,1,1.770543
0.00021,1,1.796888
0.000215,1,1.820447
0.00022,1,1.841198
0.000225,1,1.85913
0.00023,1,1.874243
0.000235,1,1.886548
0.00024,1,1.896066
0.000245,1,1.902831
0.00025,1,1.906883
0.000255,1,1.908274
0.00026,1,1.907066
0.000265,1,1.903327
0.00027,1,1.897134
0.000275,1,1.888573
0.00028,1,1.877735
0.000285,1,1.86472
0.00029,1,1.849632
0.000295,1,1.832582
0.0003,1,1.813685
0.000305,1,1.793059
0.00031,1,1.770829
0.000315,1,1.747121
0.00032,1,1.722064
0.000325,1,1.695789
0.00033,1,1.668428
0.000335,1,1.640116
0.00034,1,1.610986
0.000345,1,1.581173
0.00035,1,1.550808
0.000355,1,1.520025
0.00036,1,1.488954
0.000365,1,1.457722
0.00037,1,1.426456
0.000375,1,1.395278
0.00038,1,1.364308
0.000385,1,1.333661
0.00039,1,1.303449
0.000395,1,1.273778
0.0004,1,1.244751
0.000405,1,1.216464
0.00041,1,1.189011
0.000415,1,1.162477
0.00042,1,1.136942
0.000425,1,1.112482
0.00043,1,1.089164
0.000435,1,1.067053
0.00044,1,1.046203
0.000445,1,1.026665
0.00045,1,1.008482
0.000455,1,0.991692
0.00046,1,0.976325
0.000465,1,0.962406
0.00047,1,0.949954
0.000475,1,0.93898
0.00048,1,0.92949
0.000485,1,0.921486
0.00049,1,0.91496
0.000495,1,0.909902
0.0005,1,0.906295
0.000505,1,0.904117
0.00051,1,0.903341
0.000515,1,0.903936
0.00052,1,0.905864
0.000525,1,0.909086
0.00053,1,0.913556
0.000535,1,0.919227
0.00054,1,0.926046
0.000545,1,0.933959
0.00055,1,0.942907
0.000555,1,0.952829
0.00056,1,0.963664
0.000565,1,0.975345
0.00057,1,0.987807
0.000575,1,1.000982
0.00058,1,1.0148
0.000585,1,1.029192
0.00059,1,1.044087
0.000595,1,1.059415
0.0006,1,1.075106
0.000605,1,1.091088
0.00061,1,1.107293
0.000615,1,1.123653
0.00062,1,1.140098
0.000625,1,1.156564
0.00063,1,1.172985
0.000635,1,1.189299
0.00064,1,1.205445
0.000645,1,1.221363
0.00065,1,1.236998
0.000655,1,1.252296
0.00066,1,1.267205
0.000665,1,1.281676
0.00067,1,1.295666
0.000675,1,1.30913
0.00068,1,1.322029
0.000685,1,1.334328
0.00069,1,1.345992
0.000695,1,1.356993
0.0007,1,1.367304
0.000705,1,1.376902
0.00071,1,1.385767
0.000715,1,1.393883
0.00072,1,1.401237
0.000725,1,1.407819
0.00073,1,1.413622
0.000735,1,1.418644
0.00074,1,1.422883
0.000745,1,1.426344
0.00075,1,1.429032
0.000755,1,1.430955
0.00076,1,1.432125
0.000765,1,1.432556
0.00077,1,1.432265
0.000775,1,1.431271
0.00078,1,1.429595
0.000785,1,1.427261
0.00079,1,1.424294
0.000795,1,1.420721
0.0008,1,1.416572
0.000805,1,1.411876
0.00081,1,1.406666
0.000815,1,1.400975
0.00082,1,1.394836
0.000825,1,1.388286
0.00083,1,1.381359
0.000835,1,1.374092
0.00084,1,1.366521
0.000845,1,1.358685
0.00085,1,1.350619
0.000855,1,1.342362
0.00086,1,1.333949
0.000865,1,1.325418
0.00087,1,1.316805
0.000875,1,1.308146
0.00088,1,1.299474
0.000885,1,1.290825
0.00089,1,1.282232
0.000895,1,1.273726
0.0009,1,1.265339
0.000905,1,1.2571
0.00091,1,1.249038
0.000915,1,1.24118
0.00092,1,1.233551
0.000925,1,1.226176
0.00093,1,1.219077
0.000935,1,1.212274
0.00094,1,1.205787
0.000945,1,1.199634
0.00095,1,1.19383
0.000955,1,1.188388
0.00096,1,1.183322
0.000965,1,1.178641
0.00097,1,1.174355
0.000975,1,1.17047
0.00098,1,1.166991
0.000985,1,1.163922
0.00099,1,1.161265
0.000995,1,1.159019
0.001,1,1.157184
0.001005,1,1.155756
0.00101,1,1.154731
0.001015,1,1.154103
0.00102,1,1.153864
0.001025,1,1.154005
0.00103,1,1.154517
0.001035,1,1.155389
0.00104,1,1.156608
0.001045,1,1.15816
0.00105,1,1.160032
0.001055,1,1.162208
0.00106,1,1.164672
0.001065,1,1.167407
0.00107,1,1.170397
